id,tissue,mes,epi,p,b vs c,c vs d,d vs b,poverall,p1,p2,p3
MIP-3a,2841.00 ,148198.00 ,131307.00 ,0,7.86E-06,0.1700841,2.37E-08,TRUE,TRUE,FALSE,TRUE
MIP-1b,4159.00 ,100084.00 ,85309.00 ,0,1.62E-05,0.211246298,3.03E-05,TRUE,TRUE,FALSE,TRUE
NOV,4548.00 ,110609.00 ,101130.00 ,0,9.40E-08,0.042864557,1.36E-10,TRUE,TRUE,FALSE,TRUE
IL-12p40,1753.00 ,4170.00 ,2406.00 ,0,0.001602868,0.008828832,0.004252634,TRUE,FALSE,FALSE,FALSE
OPN,209436.00 ,150512.00 ,140498.00 ,0,1.43E-05,0.00869075,1.91E-06,TRUE,TRUE,FALSE,TRUE
Fcg RIIB,6270.00 ,28290.00 ,10319.00 ,0,0.000146342,0.000585538,0.007255373,TRUE,TRUE,TRUE,FALSE
BLC,1340.00 ,15512.00 ,1457.00 ,0,4.91E-07,4.89E-07,0.417734987,TRUE,TRUE,TRUE,FALSE
4-1BB,5802.00 ,6383.00 ,5328.00 ,0,0.01141053,0.010930114,0.125850438,TRUE,FALSE,FALSE,FALSE
TNFa,3673.00 ,74295.00 ,6848.00 ,0,5.31E-06,6.96E-06,1.22E-06,TRUE,TRUE,TRUE,TRUE
Decorin,86723.00 ,177292.00 ,166495.00 ,0,0.000128041,0.504763237,0.001000074,TRUE,TRUE,FALSE,FALSE
Prostasin,399.00 ,2075.00 ,1835.00 ,0,0.000130286,0.357920309,6.94E-05,TRUE,TRUE,FALSE,TRUE
Eotaxin-2,1984.00 ,8127.00 ,854.00 ,0,0.000312941,0.000119765,0.000185231,TRUE,TRUE,TRUE,TRUE
Cystatin C,34394.00 ,43519.00 ,40778.00 ,0,0.119637038,0.575189197,0.062097074,TRUE,FALSE,FALSE,FALSE
ICAM-1,3671.00 ,8555.00 ,1238.00 ,0,0.004243602,0.000430265,0.000657337,TRUE,FALSE,TRUE,TRUE
IL-4,6735.00 ,12649.00 ,6805.00 ,0,0.001041425,0.001047272,0.847347627,TRUE,FALSE,FALSE,FALSE
Nope,22859.00 ,14498.00 ,14120.00 ,0,0.023557839,0.768193874,0.017414385,TRUE,FALSE,FALSE,FALSE
TWEAK R,56248.00 ,96926.00 ,97897.00 ,0,2.32E-07,0.760250298,1.13E-05,TRUE,TRUE,FALSE,TRUE
MDC,2407.00 ,9222.00 ,8987.00 ,0,4.09E-05,0.79110486,2.54E-05,TRUE,TRUE,FALSE,TRUE
Periostin,475740.00 ,651669.00 ,667787.00 ,0,0.001780627,0.660329373,0.006787828,TRUE,FALSE,FALSE,FALSE
MCP-1,13866.00 ,322858.00 ,320130.00 ,0.001,3.70E-05,0.943597052,1.26E-05,FALSE,TRUE,FALSE,TRUE
bFGF,771.00 ,1722.00 ,1715.00 ,0.001,0.000247186,0.96332854,0.000644297,FALSE,TRUE,FALSE,TRUE
MIP-1g,363439.00 ,477613.00 ,500057.00 ,0.001,0.038009406,0.599251867,0.008724763,FALSE,FALSE,FALSE,FALSE
Galectin-3,134366.00 ,160607.00 ,168920.00 ,0.001,0.055060401,0.499249224,0.030956959,FALSE,FALSE,FALSE,FALSE
PDGF-AA,5826.00 ,35699.00 ,37539.00 ,0.001,9.86E-05,0.606831959,2.69E-08,FALSE,TRUE,FALSE,TRUE
L-Selectin,2034.00 ,959.00 ,1100.00 ,0.001,0.001242569,0.031464562,0.002608037,FALSE,FALSE,FALSE,FALSE
IL-3,3341.00 ,3671.00 ,3373.00 ,0.001,0.244626845,0.293945633,0.716806299,FALSE,FALSE,FALSE,FALSE
TACI,735.00 ,668.00 ,688.00 ,0.001,0.633434885,0.816932612,0.755515949,FALSE,FALSE,FALSE,FALSE
